Date,Type,Status,Title,Authors,Journal,DOI Link,PDF Link,Editors,Website,GitHub,OSF,categorization,fMRI,Added By,Note
2020-12-21,journal article,published,Similarity as a window on the dimensions of object representation,"Love, B. C. & Roads, B. D.",Trends in Cognitive Science (spotlight),https://www.sciencedirect.com/science/article/abs/pii/S1364661320303004?dgcid=author,http://bradlove.org/papers/allTics.pdf,,,,,,,Brad,
2020-11-22,preprint,published,Enriching ImageNet with Human Similarity Judgments and Psychological Embeddings,"Roads, B. D. & Love, B. C.",arXiv,https://arxiv.org/abs/2011.11015,https://arxiv.org/pdf/2011.11015.pdf,,,,,,,Brett,
,,,,,,,,,,,,,,,
2021-07-22,journal article,published,Enriching ImageNet with Human Similarity Judgments and Psychological Embeddings,"Roads, B. D. & Love, B. C.",Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,https://openaccess.thecvf.com/content/CVPR2021/papers/Roads_Enriching_ImageNet_With_Human_Similarity_Judgments_and_Psychological_Embeddings_CVPR_2021_paper.pdf,,,,,,,Brad,
,,,,,,,,,,,,,,,
2020-11-18,journal article,published,Measures of neural similarity,"Bobadilla-Suarez, S., Ahlheim, C., Mehrotra, A., Panos,  A., & Love, B. C.",Computational Brain & Behavior,https://doi.org/10.1007/s42113-019-00068-5,https://link.springer.com/content/pdf/10.1007/s42113-019-00068-5.pdf,,,https://github.com/bobaseb/neural_sim_measures,https://osf.io/5a6bd/,TRUE,TRUE,Seb,
2020-11-30,preprint,unpublished,Linking Models with Brain Measures,"Love, B. C.",OSF Preprints,https://osf.io/s92zy/,https://osf.io/s92zy/download,,,,,,,Brad,
2020-11-21,journal article,published,Subjective value and decision entropy are jointly encoded by aligned gradients across the human brain,"Bobadilla-Suarez, S., Guest, O. & Love, B. C.",Communications Biology,https://doi.org/10.1038/s42003-020-01315-3,https://www.nature.com/articles/s42003-020-01315-3.pdf,,,https://github.com/bobaseb/neural_link_SV_iDE,,,TRUE,Seb,
2021-10-29,preprint,published,Robust priors for regularized regression,"Bobadilla-Suarez, S., Jones, M. & Love, B. C.",Cognitive Psychology (in press),https://arxiv.org/abs/2010.02610,https://arxiv.org/pdf/2010.02610.pdf,,,,,,,Seb,
2022-02-01,jounral,published,Robust priors for regularized regression,"Bobadilla-Suarez, S., Jones, M. & Love, B. C.",Cognitive Psychology,https://doi.org/10.1016/j.cogpsych.2021.101444,https://www.sciencedirect.com/science/article/pii/S0010028521000670/pdfft?md5=3343e681f4ce683baa5edeecef4ae96f&pid=1-s2.0-S0010028521000670-main.pdf,,,,,,,Brad,
2020-05-01,journal article,published,Category learning in rodents using touchscreen-based tasks,"Broschard, M., Kim, J. Love, B.C., & Freeman, J.","Genes, Brain and Behavior",https://doi.org/10.1111/gbb.12665 , https://onlinelibrary.wiley.com/doi/epdf/10.1111/gbb.12665,,, ,,,,Brad,
2020-04-01,journal article,published,How Decisions and the Desire for Coherency Shape Subjective Preferences Over Time,"Hornsby, A. N. & Love, B. C.",Cognition,https://doi.org/10.1016/j.cognition.2020.104244 ,https://www.sciencedirect.com/science/article/pii/S0010027720300639#s0135,,,https://github.com/anhornsby/coherent-representations,,,,Brad,
2021-02-14,journal article,published,The Costs and Benefits of Goal-Directed Attention in Deep Convolutional Neural Networks,"Luo, X., Roads, B. D., & Love, B. C.",Computational Brain & Behavior,https://link.springer.com/article/10.1007%2Fs42113-021-00098-y,https://link.springer.com/content/pdf/10.1007/s42113-021-00098-y.pdf,,,,,,,Ken,
2020-02-25,preprint,published,Subjective value and decision entropy are jointly encoded by aligned gradients across the human brain,"Bobadilla-Suarez, S., Guest, O. & Love, B. C.",bioRxiv,https://doi.org/10.1101/2020.02.18.954362,https://www.biorxiv.org/content/10.1101/2020.02.18.954362v2.full.pdf,,,https://github.com/bobaseb/neural_link_SV_iDE,,,TRUE,Seb,
2020-01-17,journal article,published,Learning as the unsupervised alignment of conceptual systems,"Roads, B. D., & Love., B. C.",Nature Machine Intelligence,https://doi.org/10.1038/s42256-019-0132-2,https://arxiv.org/pdf/1906.09012.pdf,,,,,,,Nick,
2020-01-07,journal article,published,Ventromedial prefrontal cortex compression during concept learning,"Mack, M. L., Preston, A. R., & Love, B. C.",Nature Communications,https://doi.org/10.1038/s41467-019-13930-8,https://www.nature.com/articles/s41467-019-13930-8.pdf,,,,,,,Brad,
2020-04-01,journal article,published,Model-based fMRI Analysis of Memory,"Love, B. C.",Current Opinion in Behavioral Sciences,https://doi.org/10.1016/j.cobeha.2020.02.012,https://www.bradlove.org/papers/Love2020a.pdf,,,,,,,Brad,
2019-12-12,journal article,published,A non-spatial account of place and grid cells based on clustering models of concept learning,"Mok, R. & Love, B. C.",Nature Communications,https://doi.org/10.1038/s41467-019-13760-8,https://www.nature.com/articles/s41467-019-13760-8.pdf,,,,,,,Brad,
2020-05-06,preprint,published,Levels of Biological Plausibility,"Love, B. C.",Philosophical Transactions of the Royal Society B (10.1098/rstb.2019.0632),https://psyarxiv.com/49vea,https://psyarxiv.com/49vea/download,,,,,,,Brad,
2020-11-16,preprint,article,Levels of Biological Plausibility,"Love, B. C.",Philosophical Transactions of the Royal Society B,https://doi.org/10.1098/rstb.2019.0632,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0632,,,,,,,Brad,
2020-05-15,journal article,published,Variability in the analysis of a single neuroimaging dataset by many teams,"Botvinik-Nezer,  R.,  Holzmeister,  F.,  Camerer,  C. F.,  Dreber,  A.,  Huber,  J.,  Johannesson,  M.,  . . .  Schonberg,  T.",Nature,https://doi.org/10.1038/s41586-020-2314-9,https://www.nature.com/articles/s41586-020-2314-9,,https://www.narps.info/,https://github.com/poldrack/narps,,,,Seb,
2018-11-14,journal article,published,Dynamic integration of conceptual information during learning,"Inhoff, M.C., Libby, L.A., Noguchi, T., Love, B. C., & Ranganath C.",PLOS ONE,https://doi.org/10.1371/journal.pone.0207357,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0207357&type=printable,,,,,,,Nick,
2019-10-07,journal article,published,Conceptual Organization is Revealed by Consumer Activity Patterns,"Hornsby, A. N., Evans, T., Riefer, P. S., Prior, R., & Love, B. C.",Computational Brain & Behavior,https://doi.org/10.1007/s42113-019-00064-9,https://link.springer.com/content/pdf/10.1007%2Fs42113-019-00064-9.pdf,,,,,,,Nick,
2015-03-30,journal article,published,The Algorithmic Level Is the Bridge Between Computation and Brain,"Love, B. C.",Topics in Cognitive Science,https://doi.org/10.1111/tops.12131,https://onlinelibrary.wiley.com/doi/epdf/10.1111/tops.12131,,,,,,,Nick,
2019-08-13,journal article,published,Gerrymandering and computational redistricting,"Guest, O., Kanayet, F.J., & Love, B. C.",Journal of Computational Social Science,https://doi.org/10.1007/s42001-019-00053-9,https://link.springer.com/content/pdf/10.1007%2Fs42001-019-00053-9.pdf,,http://redistrict.science/,https://github.com/oliviaguest/redistrict/,https://osf.io/5fepu/,,,Nick,
2018-11-21,journal article,published,Selective attention in rat visual category learning,"Broschard, M., Kim, J., Love, B.C., Wasserman, E.A., Freeman, J.H.",Learning & Memory,https://doi.org/10.1101/lm.048942.118,http://learnmem.cshlp.org/content/26/3/84.full.pdf,,,,,,,Nick,
,,,,,,,,,,,,,,,
2008-11-01,journal article,published,Beyond common features: The role of roles in determining similarity,"Jones, M., & Love, B. C.",Cognitive Psychology,https://dx.doi.org/10.1016%2Fj.cogpsych.2006.09.004,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2096740/pdf/nihms34126.pdf,,,,,,,Brad,
,,,,,,,,,,,,,,,
2019-06-24,journal article,published,"Structured, uncertainty-driven exploration in real-world consumer choice","Schulz, E., Bhui, R., Love, B.C., Brier, B., Todd, M.T., Gershman, S.J.",Proceedings of the National Academy of Sciences (PNAS),https://doi.org/10.1073/pnas.1821028116,https://www.pnas.org/content/pnas/early/2019/06/21/1821028116.full.pdf,,,,,,,Nick,
2019-06-10,preprint,published,How Decisions and the Desire for Coherency Shape Subjective Preferences Over Time,"Hornsby, A. N. & Love, B. C.",PsyArXiv,https://doi.org/10.31234/osf.io/nvpe9 ,https://psyarxiv.com/nvpe9/,,,https://github.com/anhornsby/coherent-representations,,,,Nick,
2022-01-02,preprint,published,Sequential consumer choice as multi-cued retrieval,"Hornsby, A. N. & Love, B. C.",Science Advances (in press),https://doi.org/10.31234/osf.io/cx9r4,https://psyarxiv.com/cx9r4/download,,,,,,,Brad,

2022-01-02,journal article,published,Sequential consumer choice as multi-cued retrieval,"Hornsby, A. N. & Love, B. C.",Science Advances,https://doi.org/10.1126/sciadv.abl9754,https://www.science.org/doi/reader/10.1126/sciadv.abl9754,,,,,,,Brad,


2019-11-15,preprint,published,Learning as the Unsupervised Alignment of Conceptual Systems,"Roads, B. D. & Love, B. C.",arXiv (in press Nature Machine Intelligence),,https://arxiv.org/abs/1906.09012,,,,,,,Nick,
2019-01-01,journal article,published,"Model comparison, not model falsification","Love, B. C.",Behavioral and Brain Sciences,https://doi.org/10.1017/S0140525X18001516,http://bradlove.org/papers/commentaryLove2019.pdf,,,,,,,,"commentary on <a href=""https://doi.org/10.1017/S0140525X18000936"">Rahnev & Denison</a>"
2019-03-12,popular science,published,Do supermarkets know more about us than we do?,"Love, B. C.",BBC Business,https://www.bbc.co.uk/news/business-47357292,,,,,,,,Olivia,
2019-10-22,journal article,published,The importance of standards for sharing of computational models and data,"Poldrack, R., ....",Computational Brain & Behavior volume ,https://link.springer.com/article/10.1007/s42113-019-00062-x,https://link.springer.com/article/10.1007/s42113-019-00062-x,,,,,,,Brad,
2019-05-22,preprint,published,The importance of standards for sharing of computational models and data,"Poldrack, R., Feingold, F., Frank, M., Gleeson, P., de Hollander, G., Huys, Q. J., ... & Turner, B. ",PsyArXiv,https://doi.org/10.31234/osf.io/q3rnx,https://psyarxiv.com/q3rnx/download,,,,,,,Olivia,
2019-05-04,preprint,unpublished,Levels of Representation in a Deep Learning Model of Categorization,"Guest, O. & Love, B. C.",bioRxiv,https://doi.org/10.1101/626374,https://www.biorxiv.org/content/biorxiv/early/2019/05/03/626374.full-text.pdf,,,https://github.com/oliviaguest/levels-of-representation-in-a-deep-learning-model-of-categorization,https://osf.io/jxavn,TRUE,,Olivia,
2021-02-05,preprint,published,Bidirectional Influences of Information-Sampling and Concept Learning,"Braunlich, K. & Love, B. C.",Psychological Review (in press),https://doi.org/10.31234/osf.io/48ept,https://psyarxiv.com/48ept/download,,,,,,,Brad,
2021-07-19,journal article,published,Bidirectional Influences of Information-Sampling and Concept Learning,"Braunlich, K. & Love, B. C.",Psychological Review,https://doi.org/10.1037/rev0000287,https://psycnet.apa.org/fulltext/2021-62589-001.pdf,,,,,,,Brad,
2018-12-14,preprint,published,Exploration in the wild,"Schulz, E., Bhui, R., Love, B.C., Brier, B., Todd, M.T., Gershman, S.J.",bioRxiv,https://doi.org/10.1101/492058,https://www.biorxiv.org/content/early/2018/12/14/492058.full.pdf,,,,,,,Olivia,
2018-10-22,preprint,published,Conceptual Organization is Revealed by Consumer Activity Patterns,"Hornsby, A. N., Evans, T., Riefer, P. S., Prior, R., & Love, B. C.",arXiv (in press_Computational Brain & Behavior) ,https://arxiv.org/abs/1810.08577,https://arxiv.org/pdf/1810.08577.pdf,,,,,,,Olivia,
2019-10-05,preprint,published,Measures of neural similarity,"Bobadilla-Suarez, S., Ahlheim, C., Mehrotra, A., Panos,  A., & Love, B. C.",bioRxiv (revised version -in press-  Computational Brain & Behavior),https://doi.org/10.1101/439893,https://www.biorxiv.org/content/early/2018/10/12/439893.full.pdf,,,,,,,Olivia,
2019-10-13,preprint,published,A non-spatial account of place and grid cells based on clustering models of concept learning,"Mok, R. & Love, B. C.",bioRxiv (revised version -in press- Nature Communications),https://doi.org/10.1101/421842,https://www.biorxiv.org/content/early/2018/09/19/421842.1.full.pdf,,,,,,,Olivia,
2020-02-14,preprint,published,Abstract neural representations of category membership beyond information coding stimulus or response,"Mok, R. & Love, B. C.",bioRxiv,https://doi.org/10.1101/2020.02.13.947341 ,https://www.biorxiv.org/content/10.1101/2020.02.13.947341v1.full.pdf,,,,,,,Brad,
2018-11-01,journal article,published,Occipitotemporal Representations Reflect Individual Differences in Conceptual Knowledge,"Braunlich, K. & Love, B. C.",Journal of Experimental Psychology: General,http://psycnet.apa.org/doi/10.1037/xge0000501,http://psycnet.apa.org/fulltext/2018-54995-001.pdf,,,,,,,Olivia,
2017-11-30,journal article,published,Heuristics as Bayesian inference under extreme priors,"Parpart, P., Jones, M., & Love, B. C.",Cognitive Psychology,https://doi.org/10.1016/j.cogpsych.2017.11.006,https://www.sciencedirect.com/science/article/pii/S0010028517303286/pdfft?md5=893823b5c320d4e1140e17f74d8d2bd8&pid=1-s2.0-S0010028517303286-main.pdf,,,,,,,Olivia,
2018-08-02,preprint,published,Occipitotemporal Representations Reflect Individual Differences in Conceptual Knowledge,"Braunlich, K. & Love, B. C.",bioRxiv,https://doi.org/10.1101/264895,https://www.biorxiv.org/content/early/2018/08/02/264895.full.pdf,,,,,,,Olivia,
2018-03-12,preprint,published,Dynamic integration of conceptual information during learning,"Inhoff, M.C., Libby, L.A., Noguchi, T., Love, B. C., & Ranganath C.",bioRxiv,https://doi.org/10.1101/280362,https://www.biorxiv.org/content/early/2018/03/12/280362.full.pdf,,,,,,,Olivia,
2018-01-11,journal article,published,Estimating the functional dimensionality of neural representations,"Ahlheim, C. & Love, B. C.",NeuroImage,https://doi.org/10.1016/j.neuroimage.2018.06.015,https://www.sciencedirect.com/science/article/pii/S1053811918305226/pdfft?md5=56d170ba3b53f63db686a942759d6317&pid=1-s2.0-S1053811918305226-main.pdf,,,https://github.com/lovelabUCL/dimensionality,https://osf.io/tpq92/,,TRUE,Olivia,
2018-01-01,journal article,published,"Fast or Frugal, but not both: Decision Heuristics under Time Pressure","Bobadilla-Suarez, S. & Love, B. C.","Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/xlm0000419,http://bradlove.org/papers/SuarezLove2017.pdf,,,,https://osf.io/xnbz4/,,,Olivia,
2017-11-13,preprint,published,Gerrymandering and computational redistricting,"Guest, O., Kanayet, F.J., & Love, B. C.",arXiv,https://arxiv.org/abs/1711.04640,https://arxiv.org/pdf/1711.04640.pdf,,http://redistrict.science/,https://github.com/oliviaguest/redistrict/,https://osf.io/5fepu/,,,Olivia,
2019-10-9,preprint,published,Ventromedial prefrontal cortex compression during concept learning,"Mack, M. L., Preston, A. R., & Love, B. C.",bioRxiv (revised version -in press- Nature Communications),https://doi.org/10.1101/178145,https://www.biorxiv.org/content/early/2017/08/23/178145.full.pdf,,,,,,,Olivia,
2017-07-02,preprint,published,Heuristics as Bayesian inference under extreme priors,"Parpart, P., Jones, M., & Love, B. C.",PsyArXiv,https://dx.doi.org/10.31234/osf.io/qkbt5,https://osf.io/d7kb9/?action=download,,,,,,,Olivia,
2017-06-21,journal article,published,Medial prefrontal cortex compresses concept representations through learning,"Mack, M. L., Preston, A. R., & Love, B. C.",Pattern Recognition in Neuroimaging,https://doi.org/10.1109/PRNI.2017.7981500,http://bradlove.org/papers/MackPrestonLove2017.pdf,,,,,TRUE,,Olivia,
2017-06-21,journal article,published,Social Information is Integrated into Value and Confidence Judgments According to its Reliability,"De Martino, B.,  Bobadilla-Suarez, S.,  Nouguchi, T.,  Sharot, T., &  Love, B. C.",Journal of Neuroscience,https://doi.org/10.1523/JNEUROSCI.3880-16.2017,http://bradlove.org/papers/DeMartioEtal2017.pdf,,,,,,,Olivia,
2017-04-18,journal article,published,Building concepts one episode at a time: The hippocampus and concept formation,"Mack, M. L., Love, B. C., & Preston, A. R.",Neuroscience Letters,https://doi.org/10.1016/j.neulet.2017.07.061,http://bradlove.org/papers/mack_etal_manuscript_final_2017.pdf,,,,,,,Olivia,
2017-03-29,preprint,published,Estimating the functional dimensionality of neural representations,"Ahlheim, C. & Love, B. C.",bioRxiv,https://doi.org/10.1101/232454,https://www.biorxiv.org/content/early/2018/03/29/232454.full.pdf,,,https://github.com/lovelabUCL/dimensionality,,,,Olivia,
2017-01-31,journal article,published,Anterior Temporal Lobe Tracks the Formation of Prejudice,"Spiers, H.J., Love, B. C., Le Pelley, M. E., Gibb, C. E., & Murphy, R. A.",Journal of Cognitive Neuroscience,https://doi.org/10.1162/jocn_a_01056,http://bradlove.org/papers/SpiersEtAl2016.pdf,,,,,,,Olivia,
2017-01-19,journal article,published,What the Success of Brain Imaging Implies about the Neural Code,"Guest, O. & Love, B. C.",eLife,https://doi.org/10.7554/eLife.21397,https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvMjEzOTcvZWxpZmUtMjEzOTctdjEucGRm/elife-21397-v1.pdf?_hash=%2F11I2DAUsZRYlAXm8MwUVbMGJTmHZNPjRRchnqLuB7k%3D,,,https://github.com/oliviaguest/brain-imaging-and-the-neural-code,https://osf.io/v8baz/,,,Olivia,
2017-01-09,journal article,published,Coherency Maximizing Exploration in the Supermarket,"Riefer, P.S., Prior, R., Blair, N., Pavey, G., & Love, B. C.",Nature Human Behaviour,https://doi.org/10.1038/s41562-016-0017,http://bradlove.org/papers/NHB2016.pdf,,,,,,,Olivia,
2016-11-23,journal article,published,Model-based cognitive neuroscience,"Palmeri, T. J., Love, B. C., & Turner, B. M.",Journal of Mathematical Psychology,https://doi.org/10.1016/j.jmp.2016.10.010,http://bradlove.org/papers/PalmeriLoveTurner2017.pdf,,,,,,,Olivia,
2016-11-15,journal article,published,Dynamic updating of hippocampal object representations reflects new conceptual knowledge,"Mack, M. L., Love, B. C., & Preston, A. R.",Proceedings of the National Academy of Sciences (PNAS),https://doi.org/10.1073/pnas.1614048113,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5135299/pdf/pnas.201614048.pdf,,,,,,,Olivia,
2016-10-20,popular science,published,Will AI spell the end of humanity? The tech industry wants you to think so,"Love, B. C.",The Register and The Conversation,https://www.theregister.co.uk/2016/10/25/will_ai_spell_the_end_of_humanity_the_tech_industry_wants_you_to_think_so,https://theconversation.com/will-ai-spell-the-end-of-humanity-the-tech-industry-wants-you-to-think-so-67264,,,,,,,Olivia,
2016-09-09,preprint,published,What the Success of Brain Imaging Implies about the Neural Code,"Guest, O. & Love, B. C.",bioRxiv,https://doi.org/10.1101/071076,https://www.biorxiv.org/content/early/2016/09/09/071076.full.pdf,,,https://github.com/oliviaguest/brain-imaging-and-the-neural-code,https://osf.io/v8baz/,,,Olivia,
2016-03-03,journal article,published,Cognitive Models as Bridge between Brain and Behavior,"Love, B. C.",Trends in Cognitive Science,https://doi.org/10.1016/j.tics.2016.02.006,http://bradlove.org/papers/love_2016.pdf,,,,,,,Olivia,
2016-03-01,journal article,published,"Exploratory Decision-Making as a Function of Lifelong Experience, not Cognitive Decline","Blanco, N. J., Love, B. C., Ramscar, M., Otto, A. R., Smayda, K., &  Maddox, W. T.",Journal of Experimental Psychology: General,https://doi.org/10.1037/xge0000133,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4755819/pdf/xge_145_3_284.pdf,,,,,,,Olivia,
2016-02-17,journal article,published,Approaches to analysis in model-based cognitive neuroscience,"Turner, B. M., Forstmann, B. U., Love, B. C., Palmeri, T. J., & Van Maanen, L.",Journal of Mathematical Psychology,https://doi.org/10.1016/j.jmp.2016.01.001,http://bradlove.org/papers/TurnerFrostmannLove2017.pdf,,,,,,,Olivia,
2015-09-09,journal article,published,Optimism Bias in Fans and Sports Reporters,"Love, B. C., Kopec, L., & Guest, O.",PLOS ONE,https://doi.org/10.1371/journal.pone.0137685,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0137685&type=printable,,,,https://osf.io/3xrfa/,,,Olivia,
2015-07-22,proceedings,published,Active learning as a means to distinguish among prominent decision strategies,"Parpart, P., Schulz, E., Speekenbrink, M., & Love, B. C.",Proceedings of the 37th Annual Meeting of the Cognitive Science Society,https://mindmodeling.org/cogsci2015/papers/0317/index.html,http://bradlove.org/papers/parpart_etal_2015.pdf,,,,,,,Olivia,
2015-07-08,journal article,published,Unfazed by Both the Bull and Bear: Strategic Exploration in Dynamic Environments,"Riefer, P.S. & Love, B. C.",Games,https://doi.org/10.3390/g6030251,http://bradlove.org/papers/RieferLove2015.pdf,,,,,,,Olivia,
2015-05-07,popular science,published,Gaming improves your brain power - reality or hype?,"Love, B. C.",The Conversation,https://theconversation.com/gaming-improves-your-brain-power-reality-or-hype-41002,,,,,,,,Olivia,
2015-04-17,book chapter,published,Computational Reinforcement Learning,"Gureckis, T. M. & Love, B. C.",Oxford Handbook of Computational and Mathematical Psychology,https://isbnsearch.org/isbn/9780199957996,http://bradlove.org/papers/GureckisLovePress.pdf,"J.R. Busemeyer, J.T. Townsend, Z.J. Wang, A Eidels",,,,,,Olivia,
2015-04-06,journal article,published,A Frontal Dopamine System for Reflective Exploratory Behavior,"Blanco, N. J., Love, B. C., Cooper, J.A., McGeary, J.E., Knopik, V.S., & Maddox, W. T.",Neurobiology of Learning and Memory,https://doi.org/10.1016/j.nlm.2015.05.004,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4530051/pdf/nihms693801.pdf,,,,,,,Olivia,
2015-03-11,journal article,published,Nudging Investors Big and Small Toward Better Decisions,"Newall, P. & Love, B. C.",Decision,https://doi.org/10.1037/dec0000036,http://bradlove.org/papers/Newall_Love2015.pdf,,,,,,,Olivia,
2015-02-01,book chapter,published,"Concepts, Meaning, and Conceptual Relationships","Love, B. C.",The Oxford Handbook of Cognitive Science,https://doi.org/10.1093/oxfordhb/9780199842193.013.12,http://bradlove.org/papers/Love_2015.pdf,S.E. Chipman,,,,,,Olivia,
2014-06-01,journal article,published,Improved Classification of Mammograms Following Idealized Training,"Hornsby, A. N. & Love, B. C.",Journal of Applied Research in Memory and Cognition,https://doi.org/10.1016/j.jarmac.2014.04.009,http://bradlove.org/papers/HornsbyLoveInPress.pdf,,,,,,,,
2014-05-28,journal article,published,Global Neural Pattern Similarity As A Common Basis For Categorization and Recognition Memory,"Davis, T., Xue, G., Love, B. C., Preston, A. R., & Poldrack, R. A.",Journal of Neuroscience,https://doi.org/10.1523/JNEUROSCI.3376-13.2014,http://bradlove.org/papers/Davis_etal_2014.pdf,,,,,,,,
2014-04-25,journal article,published,Physiological and behavioral signatures of reflective exploratory choice,"Otto, A. R., Knox, W. B., Markman, A. B., & Love, B. C.","Cognitive, Affective, & Behavioral Neuroscience",https://doi.org/10.3758/s13415-014-0260-4,http://bradlove.org/papers/Otto_etal_press.pdf,,,,,,,,
